source,latitude,longitude,complete_address,existing_archetype,predicted_archetype,final_archetype,archetype_label,number_stories,predicted_stories,stories_conf,roof_shape_u,predicted_roof,roof_conf,construction_type_u,predicted_construction,construction_conf,wall_cladding_u,status_u,steer_damage_rating,wind_damage_rating_u,predicted_damage,damage_conf,actual_damage,year_built_u,occupany_u,building_area_m2,building_urban_setting,building_position_on_street,buidling_height_m,front_elevation_orientation,completed_by,EF_scale
undergrad,38.640597,-90.336056,"7715 Davis Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.875,gable,gable_family,0.763,masonry_un,masonry,0.975,"brick,stone,vinyl",undamaged,,0.0,none,0.655,0.0,1931.0,residential,156,isolated,recessed,7.5,s,Brian,1.0
undergrad,38.640675,-90.335856,"7707 Davis Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.905,gable,gable_family,0.826,masonry_un,masonry,1.0,"vinyl,brick,wood",undamaged,,0.0,none,0.86,0.0,1930.0,residential,129,isolated,recessed,7.7,s,Brian,1.0
undergrad,38.640781,-90.335622,"7701 Davis Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.837,gable,gable_family,0.794,masonry_un,masonry,0.99,brick,undamaged,,0.0,none,0.62,0.0,1935.0,residential,213,isolated,recessed,7.0,s,Brian,1.0
undergrad,38.641069,-90.335892,"677 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.97,hip,hip_family,0.689,masonry_un,masonry,0.985,"brick,stone",undamaged,,0.0,none,0.75,0.0,1942.0,residential,221,isolated,recessed,6.8,n,Brian,1.0
undergrad,38.641011,-90.336086,"673 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.96,gable,gable_family,0.846,masonry_un,masonry,0.995,brick,undamaged,,0.0,none,0.85,0.0,1928.0,residential,139,isolated,recessed,7.2,n,Brian,1.0
undergrad,38.640911,-90.336372,"669 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.925,gable,gable_family,0.821,masonry_un,masonry,0.995,"brick,vinyl",undamaged,,0.0,none,0.78,0.0,1922.0,residential,184,isolated,recessed,6.4,n,Brian,1.0
undergrad,38.640872,-90.336636,"665 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.945,hip,hip_family,0.749,masonry_un,masonry,0.975,"brick,vinyl",undamaged,,0.0,none,0.78,0.0,1929.0,residential,171,isolated,recessed,7.9,n,Brian,1.0
undergrad,38.640539,-90.337664,"7749/7751 Davis Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.965,gable,gable_family,0.872,masonry_un,masonry,0.995,"brick,stucco",undamaged,,0.0,none,0.855,0.0,1932.0,residential,187,isolated,recessed,6.7,s,Brian,0.0
undergrad,38.640803,-90.336917,"661 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.97,hip,hip_family,0.676,masonry_un,masonry,1.0,"brick,vinyl",undamaged,,0.0,none,0.565,0.0,1929.0,residential,217,isolated,recessed,7.5,n,Brian,1.0
undergrad,38.640836,-90.337214,"657 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.95,gable,gable_family,0.887,masonry_un,masonry,1.0,"brick,stone,wood,stucco",undamaged,,0.0,none,0.765,0.0,1927.0,residential,235,isolated,recessed,7.6,n,Brian,1.0
undergrad,38.640922,-90.337519,"651 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.975,gable,gable_family,0.903,masonry_un,masonry,0.995,"brick,stone,wood",undamaged,,0.0,none,0.77,0.0,1929.0,residential,174,isolated,recessed,6.5,n,Brian,1.0
undergrad,38.641986,-90.338578,"637 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.96,gable,gable_family,0.888,masonry_un,masonry,0.979,"brick,stone,wood",undamaged,,0.0,none,0.77,0.0,1930.0,residential,255,isolated,recessed,7.0,e,Brian,1.0
undergrad,38.642692,-90.339106,"619 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.873,gable,gable_family,0.737,masonry_un,masonry,0.985,"brick,wood,stucco",undamaged,,0.0,none,0.79,0.0,1927.0,residential,284,isolated,recessed,7.3,e,Brian,1.0
undergrad,38.643167,-90.338847,"609 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.853,gable-hip_combo,gable_family,0.877,masonry_un,masonry,0.97,"brick,stone",undamaged,,,none,0.825,0.0,1926.0,residential,198,isolated,recessed,7.1,e,Violet,1.0
undergrad,38.643897,-90.338489,"521 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.725,,gable_family,0.557,,masonry,0.865,,,,,none,0.605,,1917.0,residential,161,isolated,recessed,,,Violet,0.0
undergrad,38.643772,-90.337689,"747 Middle Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.919,gable,gable_family,0.802,masonry_un,masonry,0.958,"brick, stone",undamaged,,0.0,none,0.77,0.0,1922.0,residential,369,isolated,recessed,8.2,s,Brian,0.0
undergrad,38.642233,-90.337856,"620 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.97,gable,gable_family,0.794,masonry_un,masonry,0.99,brick,undamaged,,0.0,none,0.81,0.0,1927.0,residential,313,isolated,recessed,8.5,w,Brian,1.0
undergrad,38.641836,-90.337633,"630 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.915,hip,hip_family,0.722,masonry_un,masonry,0.995,"stucco,wood",undamaged,,0.0,none,0.61,0.0,1922.0,residential,314,isolated,recessed,8.1,w,Brian,1.0
undergrad,38.641419,-90.337283,"640 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.975,gable-hip_combo,gable_family,0.821,masonry_un,masonry,1.0,brick,undamaged,,0.0,none,0.75,0.0,1924.0,residential,316,isolated,recessed,7.4,s,Brian,1.0
undergrad,38.641381,-90.336825,"650 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.94,gable,gable_family,0.83,masonry_un,masonry,0.99,"stone,wood,brick",undamaged,,0.0,none,0.685,0.0,1921.0,residential,308,isolated,recessed,5.9,s,Brian,1.0
undergrad,38.641561,-90.336292,"660 W Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.955,gable,gable_family,0.847,masonry_un,masonry,0.99,"brick,vinyl",undamaged,,,none,0.78,0.0,1921.0,residential,189,isolated,recessed,7.0,s,Brian,1.0
undergrad,38.641861,-90.335947,"631 E Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.96,hip,hip_family,0.677,masonry_un,masonry,0.96,"brick,stucco",minor_damage,,,none,0.785,1.0,1909.0,residential,262 (un),isolated,recessed,7.3,e,Brian,1.0
undergrad,38.642333,-90.336119,"621 E Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.938,gable,gable_family,0.848,masonry_un,masonry,0.95,"brick,stucco",minor_damage,,,none,0.875,1.0,1918.0,residential,555,isolated,recessed,6.0,e,Brian,1.0
undergrad,38.642706,-90.336144,"611 E Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.935,hip,hip_family,0.755,masonry_un,masonry,0.975,brick,undamaged,,,none,0.71,0.0,1917.0,residential,383,isolated,recessed,6.8,e,Brian,1.0
undergrad,38.643108,-90.336461,"601 E Polo Dr, Saint Louis, MO 63105",6.0,6,6.0,t6,1.0,1,0.67,gable-hip_combo,gable_family,0.824,masonry_un,masonry,0.99,"brick,vinyl",undamaged,,,none,0.83,0.0,1925.0,residential,294,isolated,recessed,6.0,e,Brian,1.0
undergrad,38.643219,-90.336981,"720 Middle Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.99,gable,gable_family,0.918,masonry_un,masonry,0.985,"stone,brick,wood",minor_damage,,,none,0.86,1.0,1921.0,residential,270,isolated,recessed,8.5,n,Brian,1.0
undergrad,38.644536,-90.337367,"500 E Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.905,gable-hip_combo,gable_family,0.874,masonry_un,masonry,0.985,"brick,vinyl",undamaged,,,none,0.815,0.0,1922.0,residential,322,isolated,recessed,6.5,s,Brian,0.0
undergrad,38.643839,-90.336753,"711 Middle Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.964,gable,gable_family,0.896,masonry_un,masonry,0.99,"brick,stucco",undamaged,,,none,0.79,0.0,1936.0,residential,231,isolated,recessed,6.5,s,Brian,0.0
undergrad,38.643781,-90.336519,"709 Middle Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.978,gable,gable_family,0.881,masonry_un,masonry,0.995,"brick,stucco",undamaged,,,none,0.81,0.0,1924.0,residential,304,isolated,recessed,6.8,s,Brian,1.0
undergrad,38.644222,-90.336414,"520 E Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.925,gable-hip_combo,gable_family,0.762,masonry_un,masonry,0.97,brick,undamaged,,,none,0.82,0.0,1937.0,residential,296,isolated,recessed,6.5,s,Brian,0.0
undergrad,38.644047,-90.3362,"522 E Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.98,gable,gable_family,0.913,masonry_un,masonry,0.98,"brick,stucco",undamaged,,,none,0.84,0.0,1934.0,residential,142,isolated,recessed,6.4,s,Brian,0.0
undergrad,38.643467,-90.335714,"526 E Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.985,gable,gable_family,0.86,masonry_un,masonry,0.99,"brick,stone,wood,stucco",undamaged,,,none,0.565,0.0,1929.0,residential,194 (un),isolated,recessed,8.4,w,Brian,1.0
undergrad,38.642667,-90.335344,"606 E Polo Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.97,gable-hip_combo,gable_family,0.815,masonry_un,masonry,0.99,"brick,stucco",undamaged,,,none,0.81,0.0,1921.0,residential,366,isolated,recessed,8.2,s,Brian,1.0
