source,latitude,longitude,complete_address,archetype,number_stories,year_built_u,occupany_u,building_area_m2,roof_shape_u,construction_type_u,wall_cladding_u,status_u,wind_damage_rating_u,steer_damage_rating,completed_by,front_elevation_orientation,building_urban_setting,building_position_on_street,buidling_height_m
undergrad,38.640675,-90.335856,"7707 Davis Dr, Saint Louis, MO 63105",19,2,1930,residential,129,gable,masonry_un,"vinyl,brick,wood",undamaged,0,,Brian,s,isolated,recessed,7.7
undergrad,38.640781,-90.335622,"7701 Davis Dr, Saint Louis, MO 63105",19,2,1935,residential,213,gable,masonry_un,brick,undamaged,0,,Brian,s,isolated,recessed,7
undergrad,38.641069,-90.335892,"677 W Polo Dr, Saint Louis, MO 63105",19,2,1942,residential,221,hip,masonry_un,"brick,stone",undamaged,0,,Brian,n,isolated,recessed,6.8
undergrad,38.641011,-90.336086,"673 W Polo Dr, Saint Louis, MO 63105",19,2,1928,residential,139,gable,masonry_un,brick,undamaged,0,,Brian,n,isolated,recessed,7.2
undergrad,38.640911,-90.336372,"669 W Polo Dr, Saint Louis, MO 63105",19,2,1922,residential,184,gable,masonry_un,"brick,vinyl",undamaged,0,,Brian,n,isolated,recessed,6.4
undergrad,38.640872,-90.336636,"665 W Polo Dr, Saint Louis, MO 63105",19,2,1929,residential,171,hip,masonry_un,"brick,vinyl",undamaged,0,,Brian,n,isolated,recessed,7.9
undergrad,38.640539,-90.337664,"7749/7751 Davis Dr, Saint Louis, MO 63105",19,2,1932,residential,187,gable,masonry_un,"brick,stucco",undamaged,0,,Brian,s,isolated,recessed,6.7
undergrad,38.640803,-90.336917,"661 W Polo Dr, Saint Louis, MO 63105",19,2,1929,residential,217,hip,masonry_un,"brick,vinyl",undamaged,0,,Brian,n,isolated,recessed,7.5
undergrad,38.640836,-90.337214,"657 W Polo Dr, Saint Louis, MO 63105",19,2,1927,residential,235,gable,masonry_un,"brick,stone,wood,stucco",undamaged,0,,Brian,n,isolated,recessed,7.6
undergrad,38.640922,-90.337519,"651 W Polo Dr, Saint Louis, MO 63105",19,2,1929,residential,174,gable,masonry_un,"brick,stone,wood",undamaged,0,,Brian,n,isolated,recessed,6.5
undergrad,38.641986,-90.338578,"637 W Polo Dr, Saint Louis, MO 63105",19,2,1930,residential,255,gable,masonry_un,"brick,stone,wood",undamaged,0,,Brian,e,isolated,recessed,7
undergrad,38.642692,-90.339106,"619 W Polo Dr, Saint Louis, MO 63105",19,2,1927,residential,284,gable,masonry_un,"brick,wood,stucco",undamaged,0,,Brian,e,isolated,recessed,7.3
undergrad,38.643167,-90.338847,"609 W Polo Dr, Saint Louis, MO 63105",19,2,1926,residential,198,gable-hip_combo,masonry_un,"brick,stone",undamaged,,,Violet,e,isolated,recessed,7.1
undergrad,38.643897,-90.338489,"521 W Polo Dr, Saint Louis, MO 63105",19,2,1917,residential,161,,,,,,,Violet,,isolated,recessed,
undergrad,38.643772,-90.337689,"747 Middle Polo Dr, Saint Louis, MO 63105",19,2,1922,residential,369,gable,masonry_un,"brick, stone",undamaged,0,,Brian,s,isolated,recessed,8.2
undergrad,38.642233,-90.337856,"620 W Polo Dr, Saint Louis, MO 63105",19,2,1927,residential,313,gable,masonry_un,brick,undamaged,0,,Brian,w,isolated,recessed,8.5
undergrad,38.641836,-90.337633,"630 W Polo Dr, Saint Louis, MO 63105",19,2,1922,residential,314,hip,masonry_un,"stucco,wood",undamaged,0,,Brian,w,isolated,recessed,8.1
undergrad,38.641419,-90.337283,"640 W Polo Dr, Saint Louis, MO 63105",19,2,1924,residential,316,gable-hip_combo,masonry_un,brick,undamaged,0,,Brian,s,isolated,recessed,7.4
undergrad,38.641381,-90.336825,"650 W Polo Dr, Saint Louis, MO 63105",19,2,1921,residential,308,gable,masonry_un,"stone,wood,brick",undamaged,0,,Brian,s,isolated,recessed,5.9
undergrad,38.641561,-90.336292,"660 W Polo Dr, Saint Louis, MO 63105",19,2,1921,residential,189,gable,masonry_un,"brick,vinyl",undamaged,,,Brian,s,isolated,recessed,7
undergrad,38.641861,-90.335947,"631 E Polo Dr, Saint Louis, MO 63105",19,2,1909,residential,262 (un),hip,masonry_un,"brick,stucco",minor_damage,,,Brian,e,isolated,recessed,7.3
undergrad,38.642333,-90.336119,"621 E Polo Dr, Saint Louis, MO 63105",19,2,1918,residential,555,gable,masonry_un,"brick,stucco",minor_damage,,,Brian,e,isolated,recessed,6
undergrad,38.642706,-90.336144,"611 E Polo Dr, Saint Louis, MO 63105",19,2,1917,residential,383,hip,masonry_un,brick,undamaged,,,Brian,e,isolated,recessed,6.8
undergrad,38.643108,-90.336461,"601 E Polo Dr, Saint Louis, MO 63105",6,1,1925,residential,294,gable-hip_combo,masonry_un,"brick,vinyl",undamaged,,,Brian,e,isolated,recessed,6
undergrad,38.643219,-90.336981,"720 Middle Polo Dr, Saint Louis, MO 63105",19,2,1921,residential,270,gable,masonry_un,"stone,brick,wood",minor_damage,,,Brian,n,isolated,recessed,8.5
undergrad,38.644536,-90.337367,"500 E Polo Dr, Saint Louis, MO 63105",19,2,1922,residential,322,gable-hip_combo,masonry_un,"brick,vinyl",undamaged,,,Brian,s,isolated,recessed,6.5
undergrad,38.643839,-90.336753,"711 Middle Polo Dr, Saint Louis, MO 63105",19,2,1936,residential,231,gable,masonry_un,"brick,stucco",undamaged,,,Brian,s,isolated,recessed,6.5
undergrad,38.643781,-90.336519,"709 Middle Polo Dr, Saint Louis, MO 63105",19,2,1924,residential,304,gable,masonry_un,"brick,stucco",undamaged,,,Brian,s,isolated,recessed,6.8
undergrad,38.644222,-90.336414,"520 E Polo Dr, Saint Louis, MO 63105",19,2,1937,residential,296,gable-hip_combo,masonry_un,brick,undamaged,,,Brian,s,isolated,recessed,6.5
undergrad,38.644047,-90.3362,"522 E Polo Dr, Saint Louis, MO 63105",19,2,1934,residential,142,gable,masonry_un,"brick,stucco",undamaged,,,Brian,s,isolated,recessed,6.4
undergrad,38.643467,-90.335714,"526 E Polo Dr, Saint Louis, MO 63105",19,2,1929,residential,194 (un),gable,masonry_un,"brick,stone,wood,stucco",undamaged,,,Brian,w,isolated,recessed,8.4
undergrad,38.642667,-90.335344,"606 E Polo Dr, Saint Louis, MO 63105",19,2,1921,residential,366,gable-hip_combo,masonry_un,"brick,stucco",undamaged,,,Brian,s,isolated,recessed,8.2
undergrad,38.642311,-90.335283,"612 E Polo Dr, Saint Louis, MO 63105",19,2,1928,residential,202,gable,masonry_un,"brick,wood",undamaged,,,Brian,w,isolated,recessed,6
undergrad,38.644408,-90.334531,"440 S Hanley Rd, Saint Louis, MO 63105",19,2,1929,residential,140,gable-hip_combo,masonry_un,"brick,wood",undamaged,,,Brian,w,isolated,recessed,6.8
undergrad,38.644289,-90.334522,"444 S Hanley Rd, Saint Louis, MO 63105",19,2,1900,residential,259,gable-hip_combo,masonry_un,"stone,brick",undamaged,,,Brian,w,isolated,recessed,7.5
undergrad,38.643628,-90.334611,"516 S Hanley Rd, Saint Louis, MO 63105",19,2,1927,business,368,mansard,masonry_un,"stone,brick,wood",undamaged,,,Brian,w,isolated,right_on_street,7.4
undergrad,38.643353,-90.334728,"522 S Hanley Rd, Saint Louis, MO 63105",,,1921,business,,,,,,,,Brian,,,,
undergrad,38.643344,-90.334156,"7625 Wydown Blvd, Saint Louis, MO 63105",19,3,1925,residential,918,gable-hip_combo,masonry_un,"stone,brick,stucco,wood",undamaged,,,Brian,s,isolated,recessed,7
undergrad,38.644264,-90.334019,"445 Carswold Dr, Saint Louis, MO 63105",19,2,1926,residential,140,gable,masonry_un,"stucco,brick",undamaged,,,Brian,e,isolated,recessed,6.8
undergrad,38.644425,-90.333992,"437 Carswold Dr, Saint Louis, MO 63105",19,2,1927,residential,123(un),gable,masonry_un,"brick,vinyl",undamaged,,,Brian,e,isolated,recessed,7
undergrad,38.644067,-90.333028,"456 Carswold Dr, Saint Louis, MO 63105",19,2,1928,residential,94,hip,masonry_un,"brick,stone",undamaged,,,Brian,s,isolated,recessed,6.8
undergrad,38.644142,-90.333153,"452 Carswold Dr, Saint Louis, MO 63105",19,2,1929,residential,106,gable,masonry_un,"brick,stucco,wood",undamaged,,,Brian,s,isolated,recessed,7
undergrad,38.644231,-90.333256,"448 Carswold Dr, Saint Louis, MO 63105",19,2,1929,residential,148,gable-hip_combo,masonry_un,"brick,stucco",undamaged,,,Brian,w,isolated,recessed,6.8
undergrad,38.644336,-90.333333,"444 Carswold Dr, Saint Louis, MO 63105",19,2,1929,residential,122,gable,masonry_un,"brick,stucco",minor_damage,,,Brian,w,isolated,recessed,6.7
undergrad,38.644428,-90.333386,"440 Carswold Dr, Saint Louis, MO 63105",19,2,1927,residential,85,gable,masonry_un,"brick,stucco",undamaged,,,Brian,w,isolated,recessed,6.8
undergrad,38.644472,-90.332817,"437 Oakley Dr, Saint Louis, MO 63105",19,2,1928,residential,147,gambrel,masonry_un,brick,undamaged,,,Brian,e,isolated,recessed,6.4
